,Reward
489,259.0
490,419.0
491,257.0
492,347.0
493,81.0
494,-12.0
495,324.0
496,-57.0
497,482.0
498,338.0
499,71.0
500,127.0
501,-63.0
502,76.0
503,54.0
504,285.0
505,264.0
506,232.0
507,332.0
508,145.0
509,385.0
510,205.0
511,315.0
512,248.0
513,470.0
514,357.0
515,248.0
516,304.0
517,9.0
518,360.0
519,99.0
520,333.0
521,374.0
522,243.0
523,-80.0
524,382.0
525,172.0
526,116.0
527,38.0
528,137.0
529,500.0
530,531.0
531,413.0
532,307.0
533,70.0
534,213.0
535,86.0
536,-35.0
537,65.0
538,345.0
539,67.0
540,393.0
541,275.0
542,357.0
543,289.0
544,303.0
545,442.0
546,-18.0
547,432.0
548,216.0
549,402.0
550,241.0
551,252.0
552,444.0
553,338.0
554,632.0
555,-83.0
556,-30.0
557,216.0
558,318.0
559,135.0
560,210.0
561,524.0
562,90.0
563,521.0
564,81.0
565,4.0
566,208.0
567,270.0
568,386.0
569,423.0
570,631.0
571,277.0
572,207.0
573,43.0
574,336.0
575,-67.0
576,333.0
577,285.0
578,852.0
579,0.0
580,77.0
581,23.0
582,132.0
583,-60.0
584,367.0
585,271.0
586,248.0
587,196.0
588,480.0
589,368.0
590,249.0
591,78.0
592,333.0
593,171.0
594,603.0
595,161.0
596,-44.0
597,327.0
598,312.0
599,207.0
600,372.0
601,366.0
602,202.0
603,381.0
604,558.0
605,221.0
606,540.0
607,227.0
608,459.0
609,131.0
610,441.0
611,46.0
612,494.0
613,718.0
614,267.0
615,343.0
616,275.0
617,80.0
618,146.0
619,398.0
620,378.0
621,253.0
622,367.0
623,248.0
624,72.0
625,118.0
626,124.0
627,469.0
628,380.0
629,625.0
630,5.0
631,353.0
632,158.0
633,177.0
634,685.0
635,348.0
636,514.0
637,290.0
638,568.0
639,329.0
640,288.0
641,64.0
642,274.0
643,435.0
644,231.0
645,199.0
646,270.0
647,-16.0
648,123.0
649,619.0
650,25.0
651,396.0
652,326.0
653,60.0
654,368.0
655,306.0
656,577.0
657,512.0
658,268.0
659,460.0
660,419.0
661,320.0
662,333.0
663,361.0
664,323.0
665,92.0
666,213.0
667,405.0
668,278.0
669,565.0
670,320.0
671,68.0
672,355.0
673,186.0
674,398.0
675,536.0
676,261.0
677,322.0
678,495.0
679,397.0
680,97.0
681,470.0
682,430.0
683,272.0
684,522.0
685,113.0
686,219.0
687,252.0
688,588.0
689,255.0
690,-5.0
691,496.0
692,420.0
693,424.0
694,300.0
695,146.0
696,558.0
697,594.0
698,168.0
699,86.0
700,702.0
701,311.0
702,185.0
703,71.0
704,110.0
705,379.0
706,117.0
707,323.0
708,198.0
709,464.0
710,270.0
711,343.0
712,503.0
713,99.0
714,388.0
715,149.0
716,467.0
717,442.0
718,447.0
719,482.0
720,189.0
721,316.0
722,456.0
723,86.0
724,286.0
725,266.0
726,430.0
727,145.0
728,450.0
729,142.0
730,789.0
731,386.0
732,539.0
733,441.0
734,405.0
735,488.0
736,276.0
737,519.0
738,345.0
739,87.0
740,695.0
741,284.0
742,511.0
743,68.0
744,261.0
745,335.0
746,700.0
747,213.0
748,316.0
749,352.0
750,405.0
751,496.0
752,225.0
753,388.0
754,250.0
755,330.0
756,428.0
757,158.0
758,234.0
759,342.0
760,674.0
761,374.0
762,441.0
763,421.0
764,534.0
765,337.0
766,362.0
767,308.0
768,397.0
769,82.0
770,386.0
771,572.0
772,566.0
773,252.0
774,351.0
775,488.0
776,101.0
777,482.0
778,498.0
779,361.0
780,177.0
781,360.0
782,512.0
783,328.0
784,595.0
785,235.0
786,306.0
787,639.0
788,810.0
789,324.0
790,586.0
791,339.0
792,468.0
793,513.0
794,-97.0
795,608.0
796,370.0
797,509.0
798,308.0
799,776.0
800,745.0
801,347.0
802,366.0
803,622.0
804,334.0
805,280.0
806,762.0
807,564.0
808,783.0
809,437.0
810,343.0
811,261.0
812,396.0
813,6.0
814,176.0
815,371.0
816,671.0
817,448.0
818,481.0
819,923.0
820,801.0
821,448.0
822,914.0
823,374.0
824,684.0
825,399.0
826,270.0
827,572.0
828,457.0
829,379.0
830,441.0
831,610.0
832,717.0
833,153.0
834,306.0
835,817.0
836,475.0
837,864.0
838,390.0
839,372.0
840,267.0
841,79.0
842,660.0
843,441.0
844,300.0
845,381.0
846,300.0
847,474.0
848,560.0
849,398.0
850,484.0
851,374.0
852,805.0
853,387.0
854,416.0
855,641.0
856,661.0
857,423.0
858,466.0
859,729.0
860,323.0
861,649.0
862,467.0
863,450.0
864,530.0
865,203.0
866,422.0
867,531.0
868,686.0
869,338.0
870,267.0
871,284.0
872,495.0
873,496.0
874,333.0
875,547.0
876,159.0
877,474.0
878,506.0
879,622.0
880,649.0
881,465.0
882,286.0
883,645.0
884,293.0
885,353.0
886,601.0
887,326.0
888,484.0
889,471.0
890,646.0
891,293.0
892,480.0
893,252.0
894,707.0
895,419.0
896,716.0
897,432.0
898,239.0
899,384.0
900,540.0
901,393.0
902,445.0
903,447.0
904,500.0
905,384.0
906,-183.0
907,-79.0
908,537.0
909,138.0
910,118.0
911,284.0
912,311.0
913,180.0
914,410.0
915,460.0
916,249.0
917,575.0
918,388.0
919,283.0
920,631.0
921,548.0
922,376.0
923,306.0
924,473.0
925,294.0
926,234.0
927,426.0
928,225.0
929,332.0
930,675.0
931,397.0
932,335.0
933,555.0
934,516.0
935,620.0
936,393.0
937,156.0
938,-31.0
939,320.0
940,574.0
941,363.0
942,283.0
943,335.0
944,469.0
945,870.0
946,315.0
947,579.0
948,441.0
949,446.0
950,425.0
951,234.0
952,476.0
953,352.0
954,434.0
955,735.0
956,734.0
957,541.0
958,652.0
959,549.0
960,356.0
961,792.0
962,218.0
963,360.0
964,531.0
965,672.0
966,522.0
967,317.0
968,406.0
969,393.0
970,740.0
971,635.0
972,542.0
973,495.0
974,398.0
975,409.0
976,364.0
977,402.0
978,522.0
979,618.0
980,441.0
981,455.0
982,299.0
983,444.0
984,370.0
985,641.0
986,646.0
987,541.0
988,79.0
989,386.0
990,142.0
991,459.0
992,705.0
993,684.0
994,630.0
995,558.0
996,360.0
997,482.0
998,320.0
999,451.0
1000,446.0
1001,514.0
1002,452.0
1003,657.0
1004,541.0
1005,461.0
1006,564.0
1007,549.0
1008,550.0
1009,810.0
1010,602.0
1011,617.0
1012,338.0
1013,698.0
1014,411.0
1015,545.0
1016,424.0
1017,792.0
1018,468.0
1019,342.0
1020,760.0
1021,845.0
1022,162.0
1023,653.0
1024,742.0
1025,231.0
1026,442.0
1027,621.0
1028,513.0
1029,264.0
1030,578.0
1031,293.0
1032,426.0
1033,577.0
1034,801.0
1035,582.0
1036,342.0
1037,603.0
1038,871.0
1039,537.0
1040,271.0
1041,512.0
1042,510.0
1043,423.0
1044,496.0
